clade,genome,assembly,group,track,table,clade.text,genome.text,assembly.text,group.text,track.text,table.text,downloadLink,bwEpitransPath
mammal,Human,hg38,RP-Scanning,Wagner20_RiboScanning,Wagner20_human_eIF3b_bound_40S_RiboScanning,Mammal,Human,Dec. 2013 (GRCh38/hg38),Small Ribosomal Subunits (Footprints),HEK: Wagner20,human eIF3b bound 40S (Wagner20_human_eIF3b_bound_40S_RiboScanning),https://gwips.ucc.ie/downloads/download.php?tableName=Wagner20_human_eIF3b_bound_40S_RiboScanning&assemblyName=hg38,/home/labs/schwartzlab/Collaboration/databases/GWIPS/hg38/Wagner20_human_eIF3b_bound_40S_RiboScanning.bw
mammal,Human,hg38,RP-Scanning,Wagner20_RiboScanning,Wagner20_human_unselected_40S_RiboScanning,Mammal,Human,Dec. 2013 (GRCh38/hg38),Small Ribosomal Subunits (Footprints),HEK: Wagner20,human unselected 40S (Wagner20_human_unselected_40S_RiboScanning),https://gwips.ucc.ie/downloads/download.php?tableName=Wagner20_human_unselected_40S_RiboScanning&assemblyName=hg38,/home/labs/schwartzlab/Collaboration/databases/GWIPS/hg38/Wagner20_human_unselected_40S_RiboScanning.bw
mammal,Human,hg38,RP-InitiatingRibos,Global_RiboProInit,Ji15_All_RiboProInit_track,Mammal,Human,Dec. 2013 (GRCh38/hg38),Initiating Ribosomes (P-site),Global Aggregate,Ji 2015 (Ji15_All_RiboProInit_track),https://gwips.ucc.ie/downloads/download.php?tableName=Ji15_All_RiboProInit_track&assemblyName=hg38,/home/labs/schwartzlab/Collaboration/databases/GWIPS/hg38/Ji15_All_RiboProInit_track.bw
mammal,Human,hg38,RP-InitiatingRibos,Global_RiboProInit,Gawron16_All_RiboProInit_track,Mammal,Human,Dec. 2013 (GRCh38/hg38),Initiating Ribosomes (P-site),Global Aggregate,Gawron 2016 (Gawron16_All_RiboProInit_track),https://gwips.ucc.ie/downloads/download.php?tableName=Gawron16_All_RiboProInit_track&assemblyName=hg38,/home/labs/schwartzlab/Collaboration/databases/GWIPS/hg38/Gawron16_All_RiboProInit_track.bw
mammal,Human,hg38,RP-InitiatingRibos,Global_RiboProInit,Crappe15_All_RiboProInit_track,Mammal,Human,Dec. 2013 (GRCh38/hg38),Initiating Ribosomes (P-site),Global Aggregate,Crappe 2015 (Crappe15_All_RiboProInit_track),https://gwips.ucc.ie/downloads/download.php?tableName=Crappe15_All_RiboProInit_track&assemblyName=hg38,/home/labs/schwartzlab/Collaboration/databases/GWIPS/hg38/Crappe15_All_RiboProInit_track.bw
mammal,Human,hg38,RP-InitiatingRibos,Global_RiboProInit,Raj16_All_RiboProInit_track,Mammal,Human,Dec. 2013 (GRCh38/hg38),Initiating Ribosomes (P-site),Global Aggregate,Raj 2016 (Raj16_All_RiboProInit_track),https://gwips.ucc.ie/downloads/download.php?tableName=Raj16_All_RiboProInit_track&assemblyName=hg38,/home/labs/schwartzlab/Collaboration/databases/GWIPS/hg38/Raj16_All_RiboProInit_track.bw
mammal,Human,hg38,RP-InitiatingRibos,Global_RiboProInit,Zhang17_RiboProInit_global_child,Mammal,Human,Dec. 2013 (GRCh38/hg38),Initiating Ribosomes (P-site),Global Aggregate,Zhang 2017 (Zhang17_RiboProInit_global_child),https://gwips.ucc.ie/downloads/download.php?tableName=Zhang17_RiboProInit_global_child&assemblyName=hg38,/home/labs/schwartzlab/Collaboration/databases/GWIPS/hg38/Zhang17_RiboProInit_global_child.bw
mammal,Human,hg38,RP-InitiatingRibos,Global_RiboProInit,Gao14_RiboProInit_global_child,Mammal,Human,Dec. 2013 (GRCh38/hg38),Initiating Ribosomes (P-site),Global Aggregate,Gao 2014 (Gao14_RiboProInit_global_child),https://gwips.ucc.ie/downloads/download.php?tableName=Gao14_RiboProInit_global_child&assemblyName=hg38,/home/labs/schwartzlab/Collaboration/databases/GWIPS/hg38/Gao14_RiboProInit_global_child.bw
mammal,Human,hg38,RP-InitiatingRibos,Global_RiboProInit,Fijalkowska17_RiboProInit_global_child,Mammal,Human,Dec. 2013 (GRCh38/hg38),Initiating Ribosomes (P-site),Global Aggregate,Fijalkowska 2017 (Fijalkowska17_RiboProInit_global_child),https://gwips.ucc.ie/downloads/download.php?tableName=Fijalkowska17_RiboProInit_global_child&assemblyName=hg38,/home/labs/schwartzlab/Collaboration/databases/GWIPS/hg38/Fijalkowska17_RiboProInit_global_child.bw
mammal,Human,hg38,RP-InitiatingRibos,Global_RiboProInit,Chen20_RiboProInit_global_child,Mammal,Human,Dec. 2013 (GRCh38/hg38),Initiating Ribosomes (P-site),Global Aggregate,Chen 2020 (Chen20_RiboProInit_global_child),https://gwips.ucc.ie/downloads/download.php?tableName=Chen20_RiboProInit_global_child&assemblyName=hg38,/home/labs/schwartzlab/Collaboration/databases/GWIPS/hg38/Chen20_RiboProInit_global_child.bw
mammal,Human,hg38,RP-InitiatingRibos,Ji_RiboProInit,Ji15_EH_harr_RiboProInit,Mammal,Human,Dec. 2013 (GRCh38/hg38),Initiating Ribosomes (P-site),BJ/MCF10A:Ji 2015,EH harr (Ji15_EH_harr_RiboProInit),https://gwips.ucc.ie/downloads/download.php?tableName=Ji15_EH_harr_RiboProInit&assemblyName=hg38,/home/labs/schwartzlab/Collaboration/databases/GWIPS/hg38/Ji15_EH_harr_RiboProInit.bw
mammal,Human,hg38,RP-InitiatingRibos,Ji_RiboProInit,Ji15_ELR_harr_RiboProInit,Mammal,Human,Dec. 2013 (GRCh38/hg38),Initiating Ribosomes (P-site),BJ/MCF10A:Ji 2015,ELR harr (Ji15_ELR_harr_RiboProInit),https://gwips.ucc.ie/downloads/download.php?tableName=Ji15_ELR_harr_RiboProInit&assemblyName=hg38,/home/labs/schwartzlab/Collaboration/databases/GWIPS/hg38/Ji15_ELR_harr_RiboProInit.bw
mammal,Human,hg38,RP-InitiatingRibos,Ji_RiboProInit,Ji15_ERSrcTAM01hr_harr_RiboProInit,Mammal,Human,Dec. 2013 (GRCh38/hg38),Initiating Ribosomes (P-site),BJ/MCF10A:Ji 2015,ERSrcTAM01hr harr (Ji15_ERSrcTAM01hr_harr_RiboProInit),https://gwips.ucc.ie/downloads/download.php?tableName=Ji15_ERSrcTAM01hr_harr_RiboProInit&assemblyName=hg38,/home/labs/schwartzlab/Collaboration/databases/GWIPS/hg38/Ji15_ERSrcTAM01hr_harr_RiboProInit.bw
mammal,Human,hg38,RP-InitiatingRibos,Ji_RiboProInit,Ji15_EL_harr_RiboProInit,Mammal,Human,Dec. 2013 (GRCh38/hg38),Initiating Ribosomes (P-site),BJ/MCF10A:Ji 2015,EL harr (Ji15_EL_harr_RiboProInit),https://gwips.ucc.ie/downloads/download.php?tableName=Ji15_EL_harr_RiboProInit&assemblyName=hg38,/home/labs/schwartzlab/Collaboration/databases/GWIPS/hg38/Ji15_EL_harr_RiboProInit.bw
mammal,Human,hg38,RP-InitiatingRibos,Ji_RiboProInit,Ji15_ERSrcTAM04hr_harr_RiboProInit,Mammal,Human,Dec. 2013 (GRCh38/hg38),Initiating Ribosomes (P-site),BJ/MCF10A:Ji 2015,ERSrcTAM04hr harr (Ji15_ERSrcTAM04hr_harr_RiboProInit),https://gwips.ucc.ie/downloads/download.php?tableName=Ji15_ERSrcTAM04hr_harr_RiboProInit&assemblyName=hg38,/home/labs/schwartzlab/Collaboration/databases/GWIPS/hg38/Ji15_ERSrcTAM04hr_harr_RiboProInit.bw
mammal,Human,hg38,RP-InitiatingRibos,Ji_RiboProInit,Ji15_ERSrcTAM00hr_harr_RiboProInit,Mammal,Human,Dec. 2013 (GRCh38/hg38),Initiating Ribosomes (P-site),BJ/MCF10A:Ji 2015,ERSrcTAM00hr harr (Ji15_ERSrcTAM00hr_harr_RiboProInit),https://gwips.ucc.ie/downloads/download.php?tableName=Ji15_ERSrcTAM00hr_harr_RiboProInit&assemblyName=hg38,/home/labs/schwartzlab/Collaboration/databases/GWIPS/hg38/Ji15_ERSrcTAM00hr_harr_RiboProInit.bw
mammal,Human,hg38,RP-InitiatingRibos,Ji_RiboProInit,Ji15_ERSrcTAM24hr_harr_RiboProInit,Mammal,Human,Dec. 2013 (GRCh38/hg38),Initiating Ribosomes (P-site),BJ/MCF10A:Ji 2015,ERSrcTAM24hr harr (Ji15_ERSrcTAM24hr_harr_RiboProInit),https://gwips.ucc.ie/downloads/download.php?tableName=Ji15_ERSrcTAM24hr_harr_RiboProInit&assemblyName=hg38,/home/labs/schwartzlab/Collaboration/databases/GWIPS/hg38/Ji15_ERSrcTAM24hr_harr_RiboProInit.bw
mammal,Human,hg38,RP-InitiatingRibos,Gawron16_RiboProInit,Gawron16_Lactimidomycin_treated_Jurkat_cells_RiboProInit,Mammal,Human,Dec. 2013 (GRCh38/hg38),Initiating Ribosomes (P-site),Jurkat: Gawron 2016,Lactimidomycin treated Jurkat cells (Gawron16_Lactimidomycin_treated_Jurkat_cells_RiboProInit),https://gwips.ucc.ie/downloads/download.php?tableName=Gawron16_Lactimidomycin_treated_Jurkat_cells_RiboProInit&assemblyName=hg38,/home/labs/schwartzlab/Collaboration/databases/GWIPS/hg38/Gawron16_Lactimidomycin_treated_Jurkat_cells_RiboProInit.bw
mammal,Human,hg38,RP-InitiatingRibos,Crappe15_RiboProInit,Crappe15_Lactimidomycin_treated_HCT116_RiboProInit,Mammal,Human,Dec. 2013 (GRCh38/hg38),Initiating Ribosomes (P-site),HCT116:Crappe 2015,Lactimidomycin treated HCT116 (Crappe15_Lactimidomycin_treated_HCT116_RiboProInit),https://gwips.ucc.ie/downloads/download.php?tableName=Crappe15_Lactimidomycin_treated_HCT116_RiboProInit&assemblyName=hg38,/home/labs/schwartzlab/Collaboration/databases/GWIPS/hg38/Crappe15_Lactimidomycin_treated_HCT116_RiboProInit.bw
